,Unnamed: 0,asset_id,asset_name,backup_asset_id,backup_site_id,backup_asset_name,monitoring_platform,site_id,field_name,address,time_zone,start_date,days_in_month,degradation_profile,degradation_factor,monthly_energy_estimate,daily_energy_estimate,monthly_insolation_estimate,daily_insolation_estimate
20732,20732,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,22,0.5,1.0,11672.0,416.86,81.0,2.89
20733,20733,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,1.0,17924.0,578.19,122.0,3.94
20734,20734,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,1.0,21104.0,703.47,146.3,4.88
20735,20735,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,1.0,24801.0,800.03,175.9,5.67
20736,20736,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,1.0,26214.0,873.8,188.3,6.28
20737,20737,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,1.0,24387.0,786.68,177.8,5.74
20738,20738,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,1.0,24520.0,790.97,177.2,5.72
20739,20739,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,1.0,18832.0,627.73,135.5,4.52
20740,20740,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,1.0,15102.0,487.16,106.8,3.45
20741,20741,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,1.0,9882.0,329.4,71.3,2.38
20742,20742,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,1.0,8157.0,263.13,59.4,1.92
20743,20743,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,1.0,9612.0,310.06,67.8,2.19
20744,20744,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,28,0.5,0.995,11672.0,414.77,81.0,2.89
20745,20745,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,0.995,17924.0,575.3,122.0,3.94
20746,20746,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,0.995,21104.0,699.95,146.3,4.88
20747,20747,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,0.995,24801.0,796.03,175.9,5.67
20748,20748,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,0.995,26214.0,869.43,188.3,6.28
20749,20749,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,0.995,24387.0,782.74,177.8,5.74
20750,20750,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,0.995,24520.0,787.01,177.2,5.72
20751,20751,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,0.995,18832.0,624.59,135.5,4.52
20752,20752,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,0.995,15102.0,484.73,106.8,3.45
20753,20753,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,30,0.5,0.995,9882.0,327.75,71.3,2.38
20754,20754,55e80db4-c97e-ec11-8d21-00224829f9c9,PA - Philadelphia - Roosevelt Blvd.1198,41ce9d63-34e9-ea11-a817-000d3a8c8077,3793127.0,PA - King of Prussia - S Gulph Rd.0195,PowerTrack,,KWHdel,"12005 Roosevelt Blvd,  Philadelphia, PA 19154",America/New_York,2022-02-07,31,0.5,0.995,8157.0,261.81,59.4,1.92
