,asset_id,asset_name,backup_asset_id,backup_site_id,backup_asset_name,monitoring_platform,site_id,field_name,address,time_zone,start_date,days_in_month,degradation_profile,degradation_factor,monthly_energy_estimate,daily_energy_estimate,monthly_insolation_estimate,daily_insolation_estimate
0,e43f8f57-f06a-eb11-a812-000d3a1bcdc5,SED - Roof Lease-Lorraine Holton LLC,c074a34f-e860-eb11-a812-0022481e2916,3864683,SED - Woburn Goodyear School,Locus,3894571,KWHdel,"34 Holton Street, Woburn, MA 1801",America/New_York,2021-01-21,11,0.5,1.0,3488.6,112.54,56.0,1.81
24,618f67ab-b91b-ec11-b6e6-000d3a1dc938,MA-MEDFORD / MYSTIC AVE.29181,a584c49a-c11b-ec11-b6e6-000d3a1dca0b,3850347,MA-SOMERVILLE / MIDDLESEX AVE.25838,Locus,3933426,KWHdel,"327 Mystic Ave,  Medford, MA 2155",America/New_York,2022-03-07,25,0.5,1.0,10296.0,332.13,116.6,3.76
34,0c37d072-c11b-ec11-b6e6-000d3a1dca0b,MA-RANDOLPH / NORTH ST & OAK ST.25763,618f67ab-b91b-ec11-b6e6-000d3a1dc938,3933426,MA-MEDFORD / MYSTIC AVE.29181,Locus,3888383,KWHdel,"805 North St,  Randolph, MA 02368",America/New_York,2022-03-07,25,0.5,1.0,18646.0,601.48,117.2,3.78
44,a584c49a-c11b-ec11-b6e6-000d3a1dca0b,MA-SOMERVILLE / MIDDLESEX AVE.25838,0c37d072-c11b-ec11-b6e6-000d3a1dca0b,3888383,MA-RANDOLPH / NORTH ST & OAK ST.25763,Locus,3850347,KWHdel,"50 Middlesex Ave,  Somerville, MA 2145",America/New_York,2022-03-07,25,0.5,1.0,9496.0,306.32,118.7,3.83
54,64fed549-c31b-ec11-b6e6-000d3a1dca0b,CA - Van Nuys - Sepulveda-A.00102,38cf9d63-34e9-ea11-a817-000d3a8c8077,3833902,CA - Spring Valley - Sweetwater Rd.27262,Locus,3888881,KWHdel,"15350 Oxnard Street,  Van Nuys, CA 91411",America/Los_Angeles,2022-03-07,25,0.5,1.0,23826.0,768.58,153.5,4.95
64,ff32da4f-c31b-ec11-b6e6-000d3a1dca0b,MA-EVERETT / BROADWAY.25834,618f67ab-b91b-ec11-b6e6-000d3a1dc938,3933426,MA-MEDFORD / MYSTIC AVE.29181,Locus,3857563,KWHdel,"140 Broadway,  Everett , MA 2149",America/New_York,2022-03-07,25,0.5,1.0,13190.0,425.48,115.8,3.74
74,7dd677f1-c31b-ec11-b6e6-000d3a1dca0b,MA-MALDEN / EASTERN AVE.29183,ff32da4f-c31b-ec11-b6e6-000d3a1dca0b,3857563,MA-EVERETT / BROADWAY.25834,Locus,3857109,KWHdel,"650 Eastern Ave,  Malden , MA 2148",America/New_York,2022-03-07,25,0.5,1.0,13427.0,433.13,117.2,3.78
84,90d4f70a-c41b-ec11-b6e6-000d3a1dca0b,MA-SALEM / GOODHUE STREET.29192,0c37d072-c11b-ec11-b6e6-000d3a1dca0b,3888383,MA-RANDOLPH / NORTH ST & OAK ST.25763,Locus,3857640,KWHdel,"12 Goodhue Street,  Salem , MA 1970",America/New_York,2022-03-07,25,0.5,1.0,11375.0,366.94,116.0,3.74
94,9951fe33-c41b-ec11-b6e6-000d3a1dca0b,MA-WALTHAM / LEXINGTON STREET.29173,a584c49a-c11b-ec11-b6e6-000d3a1dca0b,3850347,MA-SOMERVILLE / MIDDLESEX AVE.25838,Locus,3850354,KWHdel,"260 Lexington Street,  Waltham , MA 2452",America/New_York,2022-03-07,25,0.5,1.0,3560.0,114.84,111.5,3.6
104,17bf694c-c41b-ec11-b6e6-000d3a1dca0b,MA-WESTFORD / LITTLETON RD.21622,9951fe33-c41b-ec11-b6e6-000d3a1dca0b,3850354,MA-WALTHAM / LEXINGTON STREET.29173,Locus,3857110,KWHdel,"277 Littleton Road,  Westford, MA 1886",America/New_York,2022-03-07,25,0.5,1.0,9008.0,290.58,115.5,3.73
114,43de6c66-c41b-ec11-b6e6-000d3a1dca0b,MA-WESTWOOD / EAST ST.29184,9951fe33-c41b-ec11-b6e6-000d3a1dca0b,3850354,MA-WALTHAM / LEXINGTON STREET.29173,Locus,3850335,KWHdel,"20 East Street,  Westwood , MA 2090",America/New_York,2022-03-07,25,0.5,1.0,5294.0,170.77,112.3,3.62
124,ccec696c-c41b-ec11-b6e6-000d3a1dca0b,MA-REVERE/CHARGER ST(W35427/41427).23427,0c37d072-c11b-ec11-b6e6-000d3a1dca0b,3888383,MA-RANDOLPH / NORTH ST & OAK ST.25763,Locus,3857255,KWHdel,"195 Ward Street,  Revere , MA 2151",America/New_York,2022-03-07,25,0.5,1.0,9744.0,314.32,113.4,3.66
134,68d65479-c41b-ec11-b6e6-000d3a1dca0b,CA - Chatsworth - Topanga Cyn Blvd.20124,2ccf9d63-34e9-ea11-a817-000d3a8c8077,3829702,CA - Berkeley - 2nd St.22322,Locus,3888376,KWHdel,"9350 Topanga Canyon Blvd,  Chatsworth, CA 91311",America/Los_Angeles,2022-03-07,25,0.5,1.0,13262.0,427.81,150.0,4.84
144,4e28c685-c41b-ec11-b6e6-000d3a1dca0b,CA - Canoga Park - Sherman Way.21012,68d65479-c41b-ec11-b6e6-000d3a1dca0b,3888376,CA - Chatsworth - Topanga Cyn Blvd.20124,Locus,3869169,KWHdel,"20140 Sherman Way,  Canoga Park, CA 91306",America/Los_Angeles,2022-03-07,25,0.5,1.0,23550.0,759.68,153.5,4.95
154,49f869b8-c41b-ec11-b6e6-000d3a1dca0b,CA - N Hollywood - Sherman Way.29139,32cf9d63-34e9-ea11-a817-000d3a8c8077,3837068,CA - Newark - Fircrest & Overlake.22329,Locus,3892231,KWHdel,"11620 Sherman Way,  North Hollywood, CA 91605",America/Los_Angeles,2022-03-07,25,0.5,1.0,26755.0,863.06,147.2,4.75
164,4c1c18c9-c41b-ec11-b6e6-000d3a1dca0b,CA - LA - W Pico Blvd.29143,30cf9d63-34e9-ea11-a817-000d3a8c8077,3829690,CA - Irvine - Red Hill Ave.29230,Locus,3870199,KWHdel,"11200 W Pico Blvd,  Los Angeles, CA 90064",America/Los_Angeles,2022-03-07,25,0.5,1.0,26468.0,853.81,149.6,4.83
174,83b3c2e8-c41b-ec11-b6e6-000d3a1dca0b,CA-HOLLYWOOD / HIGHLAND SANTA MONICA.26406,49f869b8-c41b-ec11-b6e6-000d3a1dca0b,3892231,CA - N Hollywood - Sherman Way.29139,Locus,3892888,KWHdel,"6801 Santa Monica Blvd, West Hollywood, CA 90038",America/Los_Angeles,2022-03-07,25,0.5,1.0,17889.0,577.06,168.2,5.43
